cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_packet_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges,private_spend_actions,shared_spend_actions,total_repair_actions,class_conformance_ok,sampled_transaction_ok
79,exploration,1.737226534268073,70394,66193,-4201,66193,70394,4201,4201,354,left_equals_g_ij_times_right_v1,1170,0.017852783203125,7.064759027791802,0.4860654319938869,0.25587837159330323,0,3847,354,4201,True,True
80,exploration,1.8170268542503085,66193,62188,-4005,62188,66193,4005,4005,301,left_equals_g_ij_times_right_v1,1371,0.0209197998046875,7.223295679562316,0.4858904851639392,0.2555228030246447,0,3704,301,4005,True,True
81,exploration,1.9004928395580798,62188,58358,-3830,58358,62188,3830,3830,305,left_equals_g_ij_times_right_v1,1608,0.0245361328125,7.38274644973891,0.4857156013773527,0.2551622684214237,0,3525,305,3830,True,True
82,exploration,1.9877928742565367,58358,54643,-3715,54643,58358,3715,3715,285,left_equals_g_ij_times_right_v1,1886,0.028778076171875,7.542213463193402,0.48554078054693417,0.254795402663446,0,3430,285,3715,True,True
83,exploration,2.0791030772122565,54643,50954,-3689,50954,54643,3689,3689,309,left_equals_g_ij_times_right_v1,2214,0.033782958984375,7.7025561132685825,0.4853660226392427,0.25442184175172133,0,3380,309,3689,True,True
84,exploration,2.174607657394998,50954,47199,-3755,47199,50954,3755,3755,286,left_equals_g_ij_times_right_v1,2615,0.0399017333984375,7.8690193764990255,0.48519132763814854,0.2540391151614447,0,3469,286,3755,True,True
85,exploration,2.2744992855003985,47199,43299,-3900,43299,47199,3900,3900,309,left_equals_g_ij_times_right_v1,3107,0.0474090576171875,8.040966725176403,0.4850166955370009,0.25364987153113316,0,3591,309,3900,True,True
86,exploration,2.378979482643352,43299,39210,-4089,39210,43299,4089,4089,323,left_equals_g_ij_times_right_v1,3680,0.05615234375,8.20991461031454,0.48484212631335105,0.2532517905472188,0,3766,323,4089,True,True
87,exploration,2.4882590269061833,39210,34930,-4280,34930,39210,4280,4280,352,left_equals_g_ij_times_right_v1,4362,0.066558837890625,8.380050323487334,0.4846676199118507,0.2528446432389957,0,3928,352,4280,True,True
88,exploration,2.6025583785618145,34930,30501,-4429,30501,34930,4429,4429,357,left_equals_g_ij_times_right_v1,5164,0.07879638671875,8.548929844777874,0.4844931763438768,0.25242621023259676,0,4072,357,4429,True,True
89,exploration,2.7221081248297545,30501,25999,-4502,25999,30501,4502,4502,386,left_equals_g_ij_times_right_v1,6059,0.0924530029296875,8.708613651340867,0.484318795567327,0.2519946090118643,0,4116,386,4502,True,True
90,exploration,2.8471494450621666,25999,21518,-4481,21518,25999,4481,4481,364,left_equals_g_ij_times_right_v1,7051,0.1075897216796875,8.859745072058184,0.4841444775137953,0.2515479161143982,0,4117,364,4481,True,True
91,exploration,2.977934597298476,21518,17145,-4373,17145,21518,4373,4373,379,left_equals_g_ij_times_right_v1,8156,0.12445068359375,9.005319325352044,0.4839702221877982,0.2510873660695479,0,3994,379,4373,True,True
92,exploration,3.1147274271700933,17145,12945,-4200,12945,17145,4200,4200,313,left_equals_g_ij_times_right_v1,9396,0.14337158203125,9.146859018523699,0.48379602961432366,0.2506142227024246,0,3887,313,4200,True,True
93,exploration,3.2578039001819104,12945,8948,-3997,8948,12945,3997,3997,325,left_equals_g_ij_times_right_v1,10708,0.16339111328125,9.277322306958853,0.4836218997501256,0.2501268178459409,0,3672,325,3997,True,True
94,exploration,3.407452658444415,8948,5137,-3811,5137,8948,3811,3811,303,left_equals_g_ij_times_right_v1,12205,0.1862335205078125,9.407740765053877,0.4834478325832408,0.24962534732845676,0,3508,303,3811,True,True
95,exploration,3.5639756029795366,5137,1455,-3682,1455,5137,3682,3682,300,left_equals_g_ij_times_right_v1,13935,0.2126312255859375,9.540131732498313,0.48327382804294255,0.24911060481872407,0,3382,300,3682,True,True
96,exploration,3.727688502774999,1455,0,-1455,0,1455,3635,1455,110,left_equals_g_ij_times_right_v1,15978,0.243804931640625,9.676907016952534,0.4830998860956464,0.24859044921589155,0,1345,110,1455,True,True
97,exploration,3.8989216318158686,0,0,0,0,0,3676,0,0,left_equals_g_ij_times_right_v1,18457,0.2816314697265625,9.82126454692925,0.4829260066958283,0.24807154861262737,0,0,0,0,True,True
98,exploration,4.07802043537844,0,0,0,0,0,3788,0,0,left_equals_g_ij_times_right_v1,21321,0.3253326416015625,9.965513114605084,0.4827521898211092,0.24755389999041696,0,0,0,0,True,True
99,exploration,4.265346226930666,0,0,0,0,0,3937,0,0,left_equals_g_ij_times_right_v1,24770,0.377960205078125,10.114505692017882,0.4825784354491178,0.2470375003382992,0,0,0,0,True,True
100,exploration,4.4612769170450095,0,0,0,0,0,4080,0,0,left_equals_g_ij_times_right_v1,28888,0.4407958984375,10.268103942866539,0.48240474355749086,0.24652234665284717,0,0,0,0,True,True
101,exploration,4.666207775794268,0,0,0,0,0,4177,0,0,left_equals_g_ij_times_right_v1,33322,0.508453369140625,10.410280651048101,0.4822311141238727,0.24600843593814947,0,0,0,0,True,True
102,exploration,4.880552230168413,0,0,0,0,0,4196,0,0,left_equals_g_ij_times_right_v1,38376,0.5855712890625,10.551186634384454,0.48205754712591553,0.24549576520579128,0,0,0,0,True,True
103,exploration,5.10474269812114,0,0,0,0,0,4125,0,0,left_equals_g_ij_times_right_v1,43838,0.668914794921875,10.683935250337278,0.48188404254127926,0.24498433147483556,0,0,0,0,True,True
104,exploration,5.339231460928736,0,0,0,0,0,3972,0,0,left_equals_g_ij_times_right_v1,49734,0.758880615234375,10.809357941559272,0.4817106003476316,0.24447413177180424,0,0,0,0,True,True
105,exploration,5.584491575621173,0,0,0,0,0,3763,0,0,left_equals_g_ij_times_right_v1,55989,0.8543243408203125,10.927547475399468,0.48153722052264825,0.24396516313065975,0,0,0,0,True,True
106,exploration,5.841017829326149,0,0,0,0,0,3536,0,0,left_equals_g_ij_times_right_v1,62695,0.9566497802734375,11.04010860605235,0.48136390304401244,0.24345742259278602,0,0,0,0,True,True
107,exploration,6.109327737451374,0,0,0,0,0,3331,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.48119064788941535,0.24295090720697013,0,0,0,0,True,True
108,exploration,6.3899625877188315,0,0,0,0,0,3182,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4810174550365557,0.2424456140293836,0,0,0,0,True,True
109,exploration,6.683488532157227,0,0,0,0,0,3109,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4808443244631403,0.24194154012356395,0,0,0,0,True,True
110,exploration,6.990497729255669,0,0,0,0,0,3115,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4806712561468835,0.24143868256039622,0,0,0,0,True,True
111,exploration,7.311609538582669,0,0,0,0,0,3182,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.48049825006550756,0.24093703841809447,0,0,0,0,True,True
112,exploration,7.647471770280557,0,0,0,0,0,3283,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4803253061967425,0.24043660478218343,0,0,0,0,True,True
113,exploration,7.998761991956005,0,0,0,0,0,3380,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.48015242451832596,0.2399373787454803,0,0,0,0,True,True
114,exploration,8.36618889560318,0,0,0,0,0,3442,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4799796050080035,0.23943935740807618,0,0,0,0,True,True
115,exploration,8.750493727317165,0,0,0,0,0,3443,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.47980684764352843,0.23894253787731812,0,0,0,0,True,True
116,exploration,9.152451782681931,0,0,0,0,0,3374,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4796341524026617,0.23844691726779074,0,0,0,0,True,True
117,exploration,9.572873970849647,0,0,0,0,0,3243,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4794615192631721,0.23795249270129815,0,0,0,0,True,True
118,exploration,10.012608450466763,0,0,0,0,0,3071,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4792889482028362,0.23745926130684583,0,0,0,0,True,True
119,exploration,10.472542340747065,0,0,0,0,0,2889,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4791164391994383,0.23696722022062255,0,0,0,0,True,True
120,exploration,10.953603511143722,0,0,0,0,0,2728,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.47894399223077044,0.2364763665859824,0,0,0,0,True,True
121,exploration,11.456762453230732,0,0,0,0,0,2617,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4787716072746324,0.23598669755342674,0,0,0,0,True,True
122,exploration,11.983034238570156,0,0,0,0,0,2572,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4785992843088317,0.23549821028058637,0,0,0,0,True,True
123,exploration,12.53348056651487,0,0,0,0,0,2596,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.47842702331118364,0.2350109019322036,0,0,0,0,True,True
124,exploration,13.109211906078151,0,0,0,0,0,2677,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.47825482425951127,0.23452476968011438,0,0,0,0,True,True
125,exploration,13.711389736190974,0,0,0,0,0,2793,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.47808268713164526,0.23403981070323063,0,0,0,0,True,True
126,exploration,14.341228888866693,0,0,0,0,0,2914,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4779106119054243,0.23355602218752233,0,0,0,0,True,True
127,exploration,15.0,0,0,0,0,0,3012,0,0,left_equals_g_ij_times_right_v1,65536,1.0,11.08430794042937,0.4777385985586944,0.233073401326,0,0,0,0,True,True
